Site Code,2019_1,2019_2,2019_3,2019_4,2019_5,2019_6,2020_1,2020_2,2020_3,2020_4,2020_5,2020_6,2021_1,2021_2,2021_3,2021_4,2021_5,2021_6
G151,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G148,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G148,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G125,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G125,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G113,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G113,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G172,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G172,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G121,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G121,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G005,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G005,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G170,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G170,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G067,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G067,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
G180,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G180,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G001,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G001,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G002,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
G002,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
G011,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G011,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G015,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G015,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G025,0,0,1,NA,0,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G025,0,0,0,NA,0,NA,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G026,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G026,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G028,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G028,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G039,0,0,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G039,0,1,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G049,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G049,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G050,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G050,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G074,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA
G074,0,0,0,NA,NA,NA,0,0,1,0,NA,NA,0,0,1,NA,NA,NA
G076,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G076,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
G083,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA
G083,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
G097,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,NA
